Date,Dungeon,Result,Clear time,Mana,Crystal,Energy,Drop,Rune Grade,Sell value,Rune Set,Max Efficiency,Slot,Rune Rarity,Main stat,Prefix stat,Secondary stat 1,"Secondary stat 2,",Secondary stat 3,Secondary stat 4
﻿2016-05-09 02:22,Giant's Keep B10,Win,2:08,3921,0,2,Rune,5*,7650,Blade,72.53%,2,Rare,DEF +15,Accuracy 6%,HP 6%,HP +257,,
﻿2016-05-09 02:24,Giant's Keep B10,Win,2:35,4271,1,2,Rune,4*,3307,Swift,60.02%,4,Rare,CRI Rate 4%,,Resistance 3%,CRI Dmg 3%,,
﻿2016-05-09 02:27,Giant's Keep B10,Win,2:30,3914,0,0,Rune,4*,2205,Energy,60.76%,5,Rare,HP +160,,HP 6%,CRI Dmg 3%,,
﻿2016-05-09 02:30,Giant's Keep B10,Win,2:28,3728,0,1,Rune,5*,5355,Fatal,68.18%,4,Rare,CRI Dmg 8%,,Accuracy 6%,Resistance 4%,,
﻿2016-05-09 02:33,Giant's Keep B10,Win,2:33,4173,0,2,Rune,5*,8670,Swift,75.72%,6,Hero,HP 8%,ATK +15,DEF +11,CRI Rate 3%,SPD +5,
﻿2016-05-09 02:57,Giant's Keep B10,Win,2:21,4044,1,2,Rune,5*,14960,Despair,73.65%,5,Legendary,HP +270,,ATK 6%,Resistance 3%,CRI Rate 3%,DEF 6%
﻿2016-05-09 03:00,Giant's Keep B10,Win,2:32,4036,0,0,Unknown Scroll x5,,,,,,,,,,,,
﻿2016-05-09 03:05,Giant's Keep B10,Win,2:57,4025,0,1,Rune,5*,5100,Energy,69.26%,3,Hero,DEF +15,,Resistance 7%,CRI Dmg 3%,SPD +3,
﻿2016-05-09 03:08,Giant's Keep B10,Win,2:20,3653,0,3,Rune,5*,19380,Despair,78.30%,1,Legendary,ATK +15,HP +103,Accuracy 7%,Resistance 4%,CRI Rate 4%,ATK 6%
﻿2016-05-09 03:10,Giant's Keep B10,Win,2:21,3811,0,0,Rune,5*,13770,Despair,72.40%,4,Rare,CRI Dmg 8%,DEF +10,ATK 7%,DEF 5%,,
﻿2016-05-09 03:13,Giant's Keep B10,Win,2:27,4551,0,2,Unknown Scroll x5,,,,,,,,,,,,
﻿2016-05-09 03:16,Giant's Keep B10,Win,2:25,4527,0,1,Rune,5*,6800,Swift,67.88%,5,Hero,HP +270,,ATK +14,HP 4%,CRI Rate 3%,
﻿2016-05-09 03:19,Giant's Keep B10,Win,2:33,3652,0,2,Rune,5*,7225,Energy,78.35%,6,Hero,DEF +15,Resistance 6%,Accuracy 7%,DEF 7%,CRI Dmg 3%,
﻿2016-05-09 03:22,Giant's Keep B10,Win,2:16,4248,0,1,Rune,6*,13551,Fatal,80.14%,1,Rare,ATK +22,ATK 8%,Resistance 7%,HP +299,,
﻿2016-05-09 03:25,Giant's Keep B10,Win,2:38,3889,0,1,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-09 03:28,Giant's Keep B10,Win,2:08,3592,0,2,Rune,5*,4080,Energy,64.59%,5,Rare,HP +270,,DEF 5%,CRI Dmg 4%,,
﻿2016-05-09 03:30,Giant's Keep B10,Win,2:13,3854,0,1,Unknown Scroll x5,,,,,,,,,,,,
﻿2016-05-09 03:32,Giant's Keep B10,Win,1:57,3988,0,1,Rune,5*,8075,Swift,70.77%,1,Rare,ATK +15,Resistance 6%,ATK 6%,CRI Rate 3%,,
﻿2016-05-09 03:35,Giant's Keep B10,Win,2:22,3751,0,1,Unknown Scroll x5,,,,,,,,,,,,
﻿2016-05-09 03:38,Giant's Keep B10,Win,2:33,3403,0,1,Shapeshift Stone x2,,,,,,,,,,,,
﻿2016-05-09 03:40,Giant's Keep B10,Win,2:16,4000,0,0,Rune,6*,8559,Energy,78.73%,4,Rare,HP 11%,,DEF +11,ATK 8%,,
﻿2016-05-09 03:43,Giant's Keep B10,Win,2:18,4249,0,1,Rune,4*,2572,Blade,58.10%,5,Rare,HP +160,,DEF 4%,CRI Rate 2%,,
﻿2016-05-09 04:05,Giant's Keep B10,Win,2:29,3725,0,3,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-09 04:11,Giant's Keep B10,Win,2:15,4148,0,2,Rune,5*,7012,Blade,67.81%,3,Hero,DEF +15,DEF 5%,Accuracy 3%,HP +103,CRI Dmg 3%,
﻿2016-05-09 04:14,Giant's Keep B10,Win,2:20,3660,0,1,Rune,5*,3825,Energy,64.06%,3,Rare,DEF +15,,DEF 7%,HP +139,,
﻿2016-05-09 04:16,Giant's Keep B10,Win,2:25,3740,0,1,Rune,5*,5355,Blade,67.32%,4,Rare,CRI Dmg 8%,,DEF +8,Accuracy 6%,,
﻿2016-05-09 04:19,Giant's Keep B10,Win,2:27,4191,1,3,Unknown Scroll x5,,,,,,,,,,,,
﻿2016-05-09 04:22,Giant's Keep B10,Win,2:35,3562,0,0,Rune,5*,12240,Despair,67.16%,4,Rare,ATK +15,,ATK 7%,HP +114,,
﻿2016-05-09 04:25,Giant's Keep B10,Win,2:15,4114,0,2,Rune,5*,6502,Blade,68.94%,6,Hero,Accuracy 9%,,Resistance 3%,CRI Rate 3%,SPD +3,
﻿2016-05-09 04:28,Giant's Keep B10,Win,2:25,4384,1,3,Rainbowmon 3*,,,,,,,,,,,,
﻿2016-05-09 04:31,Giant's Keep B10,Win,2:12,3670,0,3,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-09 04:33,Giant's Keep B10,Win,2:15,3734,0,2,Rune,4*,3100,Blade,64.51%,3,Hero,DEF +10,,Accuracy 2%,SPD +4,DEF 6%,
﻿2016-05-09 04:36,Giant's Keep B10,Win,2:35,3781,0,1,Rune,5*,5057,Fatal,68.94%,6,Rare,DEF +15,,DEF 7%,Accuracy 4%,,
﻿2016-05-09 04:39,Giant's Keep B10,Win,2:20,3552,0,0,Rune,5*,14450,Despair,74.62%,6,Hero,DEF +15,ATK 6%,ATK +14,HP +149,CRI Rate 4%,
﻿2016-05-09 04:42,Giant's Keep B10,Win,2:10,3830,0,4,Rune,5*,5950,Fatal,65.02%,2,Rare,DEF 8%,,HP +126,HP 4%,,
﻿2016-05-09 04:45,Giant's Keep B10,Win,2:16,3567,0,1,Rune,5*,7650,Blade,72.13%,2,Rare,DEF +15,Accuracy 6%,ATK +13,CRI Dmg 4%,,
﻿2016-05-09 04:47,Faimon Volcano Normal - 1,Win,0:55,1250,0,1,Unknown Scroll x1,,,,,,,,,,,,
﻿2016-05-09 05:24,Hall of Dark B10,Win,1:54,2600,0,0,Angelmon (Dark) 1*,,,,,,,,,,,,
﻿2016-05-09 05:26,Hall of Dark B10,Win,1:41,2712,0,0,Essence of Dark(High) x1,,,,,,,,,,,,
﻿2016-05-09 06:56,Faimon Volcano Hell - 1,Win,1:16,1172,1,1,Rune,4*,5236,Revenge,51.69%,1,Common,ATK +10,,,,,
﻿2016-05-09 07:03,Dragon's Lair B10,Win,2:59,4656,0,0,Rune,5*,15300,Revenge,75.92%,2,Hero,DEF +15,HP +290,SPD +3,Resistance 6%,HP 6%,
﻿2016-05-09 07:06,Dragon's Lair B10,Win,2:50,4666,0,0,Rune,4*,8268,Violent,66.77%,2,Hero,ATK +10,,CRI Rate 3%,SPD +4,ATK 6%,
﻿2016-05-09 07:16,Dragon's Lair B10,Win,3:01,4162,0,0,Rune,5*,8075,Guard,67.88%,1,Hero,ATK +15,,Accuracy 3%,ATK 5%,Resistance 5%,
﻿2016-05-09 07:19,Dragon's Lair B10,Win,3:01,4598,0,2,Rune,5*,17000,Violent,75.44%,2,Hero,ATK +15,Accuracy 6%,HP 6%,HP +286,CRI Dmg 3%,
﻿2016-05-09 07:23,Dragon's Lair B10,Win,2:58,4097,0,0,Unknown Scroll x5,,,,,,,,,,,,
﻿2016-05-09 07:30,Dragon's Lair B10,Win,2:50,4597,0,2,Rune,5*,16830,Revenge,78.39%,4,Legendary,CRI Dmg 8%,DEF +15,SPD +5,HP 5%,Resistance 3%,HP +237
﻿2016-05-09 07:34,Dragon's Lair B10,Win,3:04,4331,0,0,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-09 07:37,Dragon's Lair B10,Win,2:44,3947,0,3,Rune,6*,10778,Endure,77.81%,6,Rare,DEF 11%,,DEF +18,ATK +12,,
﻿2016-05-09 07:40,Dragon's Lair B10,Win,2:54,4372,0,1,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-09 07:44,Dragon's Lair B10,Win,2:49,4412,1,1,Rune,6*,18861,Revenge,80.16%,6,Rare,DEF 11%,,CRI Rate 5%,ATK +20,,
﻿2016-05-09 07:47,Dragon's Lair B10,Win,2:38,4725,0,1,Rune,4*,3491,Guard,59.38%,1,Rare,ATK +10,,ATK 4%,SPD +3,,
﻿2016-05-09 07:50,Dragon's Lair B10,Win,2:37,3823,0,1,Rune,5*,6800,Guard,66.23%,2,Rare,ATK +15,,CRI Dmg 3%,Resistance 4%,,
﻿2016-05-09 07:54,Dragon's Lair B10,Win,3:22,4102,0,0,Rune,5*,6460,Endure,62.53%,1,Rare,ATK +15,,CRI Rate 3%,CRI Dmg 3%,,
﻿2016-05-09 07:59,Dragon's Lair B10,Win,3:02,4025,0,0,Rune,5*,6800,Guard,70.13%,5,Hero,HP +270,,CRI Rate 4%,SPD +3,HP 6%,
﻿2016-05-09 08:02,Dragon's Lair B10,Win,2:58,4707,0,3,Rune,4*,8268,Revenge,66.83%,2,Hero,ATK +10,DEF 5%,SPD +3,Accuracy 5%,HP +97,
﻿2016-05-09 08:06,Dragon's Lair B10,Win,3:07,4453,0,0,Rune,5*,14535,Violent,69.83%,1,Hero,ATK +15,,ATK 4%,HP +300,SPD +5,
﻿2016-05-09 08:10,Dragon's Lair B10,Win,3:19,3950,0,0,Rune,4*,6247,Revenge,65.43%,6,Rare,Accuracy 6%,Resistance 4%,HP 5%,CRI Dmg 4%,,
﻿2016-05-09 08:29,Giant's Keep B10,Win,2:06,3339,0,2,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-09 08:32,Giant's Keep B10,Win,1:59,3582,0,2,Rune,5*,4760,Fatal,62.94%,5,Rare,HP +270,,DEF +9,ATK +13,,
﻿2016-05-09 08:35,Giant's Keep B10,Win,2:20,4089,0,0,Rune,5*,12240,Despair,69.49%,5,Rare,HP +270,Accuracy 3%,SPD +5,DEF 5%,,
﻿2016-05-09 08:37,Giant's Keep B10,Win,1:59,3764,0,0,Rune,5*,11560,Despair,68.27%,6,Rare,DEF 8%,,CRI Rate 5%,HP +237,,
﻿2016-05-09 10:15,Hydeni Ruins Hell - 5,Win,0:30,1371,0,1,Rune,3*,1443,Guard,46.60%,5,Magic,HP +100,,DEF +4,,,
﻿2016-05-09 10:18,Hydeni Ruins Hell - 5,Win,0:52,1427,0,1,Rune,3*,1443,Guard,47.43%,5,Magic,HP +100,,CRI Dmg 2%,,,
﻿2016-05-09 10:19,Hydeni Ruins Hell - 5,Win,0:34,1944,0,2,Rune,4*,2205,Guard,51.69%,5,Common,HP +160,,,,,
﻿2016-05-09 10:29,Hydeni Ruins Hell - 5,Win,0:27,1453,0,1,Rune,4*,2205,Guard,51.69%,5,Common,HP +160,,,,,
﻿2016-05-09 10:33,Giant's Keep B10,Win,2:24,3623,1,2,Rune,4*,3514,Fatal,62.98%,6,Rare,DEF 5%,SPD +4,HP 3%,Accuracy 2%,,
﻿2016-05-09 10:38,Giant's Keep B10,Win,2:03,4020,0,2,Rune,5*,7650,Energy,76.21%,4,Hero,CRI Rate 5%,ATK +11,HP 6%,ATK 4%,SPD +5,
﻿2016-05-09 10:41,Giant's Keep B10,Win,2:04,3949,0,0,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-09 11:06,Giant's Keep B10,Win,2:33,3554,0,0,Rune,5*,8075,Energy,73.42%,1,Hero,ATK +15,Accuracy 4%,CRI Dmg 3%,SPD +4,HP 6%,
﻿2016-05-09 11:09,Dragon's Lair B10,Win,2:50,4093,0,1,Rainbowmon 3*,,,,,,,,,,,,
﻿2016-05-09 12:17,Hydeni Ruins Hell - 5,Win,0:44,833,0,1,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-09 12:18,Hydeni Ruins Hell - 5,Win,0:54,1400,0,0,Howl (Water) 2*,,,,,,,,,,,,
﻿2016-05-09 12:18,Hydeni Ruins Hell - 5,Win,0:33,1036,0,1,High Elemental (Water) 3*,,,,,,,,,,,,
﻿2016-05-09 12:19,Hydeni Ruins Hell - 5,Win,0:38,987,0,0,Rune,3*,1236,Guard,45.23%,5,Common,HP +100,,,,,
﻿2016-05-09 12:20,Hydeni Ruins Hell - 5,Win,0:54,2117,0,1,Rune,3*,1236,Guard,45.23%,5,Common,HP +100,,,,,
﻿2016-05-09 12:21,Hydeni Ruins Hell - 5,Win,0:40,1584,0,1,Rune,3*,1649,Guard,46.51%,5,Common,HP +100,CRI Rate 1%,,,,
﻿2016-05-09 12:23,Tamor Desert Hell - 3,Win,1:07,1158,0,1,Rune,4*,2067,Endure,51.69%,3,Common,DEF +10,,,,,
﻿2016-05-09 12:24,Tamor Desert Hell - 3,Win,1:02,1985,0,0,Rune,3*,1159,Endure,45.23%,3,Common,DEF +7,,,,,
﻿2016-05-09 17:10,Dragon's Lair B10,Win,2:45,4505,0,0,Rune,5*,6460,Guard,65.96%,1,Rare,ATK +15,,HP 7%,ATK 4%,,
﻿2016-05-09 17:13,Dragon's Lair B10,Win,2:38,4540,0,1,Rune,4*,4364,Guard,62.91%,1,Hero,ATK +10,,HP 6%,ATK 3%,SPD +2,
﻿2016-05-09 17:25,Dragon's Lair B10,Win,2:43,4913,0,0,Rainbowmon 3*,,,,,,,,,,,,
﻿2016-05-09 17:31,Dragon's Lair B10,Win,2:36,4605,1,0,Rune,5*,5780,Focus,67.91%,6,Rare,ATK 8%,,ATK +11,CRI Dmg 5%,,
﻿2016-05-09 17:34,Dragon's Lair B10,Win,2:37,4375,0,0,Rune,6*,22824,Violent,81.82%,4,Rare,HP +360,,DEF 8%,CRI Dmg 7%,,
﻿2016-05-09 17:38,Dragon's Lair B10,Win,2:37,4600,0,0,Rune,4*,5880,Violent,59.38%,5,Rare,HP +160,,CRI Rate 2%,SPD +4,,
﻿2016-05-09 17:41,Dragon's Lair B10,Win,2:46,3940,0,1,Rune,5*,8925,Revenge,66.92%,3,Rare,DEF +15,,SPD +5,CRI Rate 4%,,
